AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 3.27534 0.42095 0.211815 0.0604668 0.14025 0
1 1 3.28176 0.411586 0.202374 0.0433861 0.146503 57.6667
1 2 3.27409 0.410394 0.202453 0.0550077 0.137056 57.6623
2 0 3.40673 0.241918 0.134313 0.0236906 0.048171 0
2 1 3.40204 0.241057 0.138149 0.0293728 0.0469115 -14.1077
2 2 3.4145 0.238879 0.130994 0.0229299 0.0464262 -14.1137
3 0 5.47682 -0.288136 -0.182089 -0.0818415 0.0488248 0
3 1 5.47164 -0.286285 -0.179482 -0.0791848 0.0488657 -48.6988
3 2 5.47365 -0.284458 -0.179379 -0.0848856 0.0441622 -48.6977
4 0 4.61451 -0.120855 -0.0783625 -0.0188629 0.0220941 0
4 1 4.61538 -0.119916 -0.0766009 -0.0182377 0.021243 21.377
4 2 4.61557 -0.118799 -0.076221 -0.0165788 0.0222009 21.3768
5 0 4.93079 0.0969338 0.069161 0.0227858 0.00864489 0
5 1 4.93098 0.093353 0.0665773 0.0191944 0.00941074 -24.4413
5 2 4.93126 0.0940738 0.066386 0.0182597 0.00997566 -24.4416
6 0 2.64037 -0.0605454 -0.0293625 -0.0190036 0.00933186 0
6 1 2.6375 -0.059644 -0.0284336 -0.0177052 0.00950121 -1.3517
6 2 2.63644 -0.0595066 -0.0281585 -0.0175876 0.00942897 -1.35291
